IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
162.159.135.173,165,183,174,0
104.23.127.124,164,186,174,0
104.25.170.87,165,182,174,0
104.24.151.157,166,194,174,0
104.24.19.114,166,186,174,0
104.20.2.96,167,186,175,0
104.25.134.69,167,183,175,0
104.27.118.157,166,188,175,0
104.26.8.99,168,195,176,0
104.24.160.127,170,184,176,0
104.23.121.22,164,188,176,0
104.23.114.18,165,199,176,0
104.25.58.183,167,188,176,0
104.23.111.124,166,187,176,0
104.27.0.96,166,185,176,0
104.20.9.46,165,184,177,0
172.67.79.50,166,189,177,0
104.24.68.32,165,201,177,0
104.25.56.199,169,192,177,0
104.25.130.241,165,190,177,0
104.25.15.160,167,184,177,0
104.24.147.40,165,182,177,0
172.67.100.12,166,194,177,0
104.23.138.164,170,189,178,0
104.25.89.74,166,194,178,0
104.20.13.74,166,189,178,0
104.25.155.137,167,190,178,0
104.24.11.0,165,198,178,0
172.67.113.207,167,186,178,0
104.25.10.16,168,191,178,0
104.24.44.121,165,191,178,0
172.67.24.172,166,194,178,0
104.25.212.45,166,196,178,0
104.22.21.188,168,191,178,0
172.67.124.69,167,196,178,0
104.24.159.177,164,192,178,0
104.25.124.226,166,193,178,0
172.67.112.240,165,201,178,0
104.25.98.122,167,207,178,0
104.25.50.15,171,186,178,0
104.25.17.163,165,191,178,0
104.24.252.4,169,197,178,0
104.26.5.122,168,195,178,0
104.23.106.51,171,190,178,0
104.23.99.219,166,192,178,0
104.24.150.140,168,186,178,0
104.25.112.20,171,187,178,0
104.24.241.188,165,196,179,0
104.27.36.21,165,196,179,0
104.24.224.42,166,193,179,0
172.67.114.132,167,186,179,0
104.24.63.110,171,186,179,0
104.27.55.47,167,196,179,0
172.67.126.245,167,187,179,0
104.22.11.31,171,185,179,0
104.27.51.116,168,203,179,0
172.67.86.141,165,189,179,0
162.159.35.239,170,185,179,0
104.24.183.254,165,199,179,0
104.27.98.232,167,223,179,0
104.24.17.243,167,192,179,0
104.24.250.33,168,190,179,0
104.24.1.151,165,187,179,0
104.27.60.111,175,188,179,0
104.25.64.211,164,194,179,0
104.25.114.226,171,188,179,0
104.24.155.88,166,192,179,0
104.27.14.192,167,188,180,0
104.25.96.96,168,186,180,0
104.27.39.161,168,196,180,0
104.27.73.223,166,200,180,0
172.67.125.32,165,197,180,0
104.24.62.96,169,198,180,0
104.24.173.76,167,199,180,0
104.24.133.165,167,190,180,0
104.25.168.182,165,210,180,0
104.25.231.174,167,195,180,0
104.24.231.0,165,189,180,0
104.22.77.152,170,192,180,0
104.23.116.205,169,203,180,0
104.25.41.176,166,204,180,0
104.25.135.239,168,219,180,0
104.25.205.14,167,189,180,0
104.23.137.135,168,196,180,0
104.23.110.140,166,193,180,0
104.25.54.186,165,191,180,0
104.24.166.231,167,211,180,0
104.24.85.160,168,196,180,0
104.22.30.201,166,194,180,0
104.25.46.131,168,195,180,0
104.22.8.123,172,186,180,0
104.25.0.255,169,202,180,0
104.25.243.40,165,197,180,0
104.22.41.145,170,207,180,0
104.24.140.148,170,196,180,0
104.24.161.76,166,188,180,0
172.67.90.32,171,190,180,0
104.27.13.230,170,188,181,0
104.24.209.210,166,219,181,0
172.67.16.236,168,192,181,0
172.67.110.185,167,203,181,0
104.27.18.85,168,194,181,0
104.25.138.180,168,197,181,0
172.67.14.171,170,194,181,0
104.25.13.129,168,190,181,0
104.22.58.69,165,196,181,0
104.25.18.167,166,206,181,0
104.25.63.207,168,200,181,0
104.24.243.121,169,192,181,0
104.24.219.58,167,192,181,0
104.24.233.205,167,214,181,0
162.159.138.201,170,193,181,0
104.27.33.63,170,198,181,0
104.25.161.88,170,190,181,0
104.25.144.31,169,199,181,0
104.27.38.185,164,211,181,0
104.27.114.104,166,199,181,0
162.159.153.56,173,196,181,0
104.25.133.55,171,189,181,0
172.67.9.212,169,191,181,0
172.67.51.232,167,210,181,0
104.22.0.55,168,196,181,0
104.24.254.197,167,190,181,0
172.67.66.78,166,203,181,0
104.24.170.28,168,209,181,0
104.24.45.188,176,201,182,0
104.27.102.185,168,198,182,0
104.25.214.162,170,200,182,0
104.24.83.90,167,191,182,0
104.24.12.230,170,201,182,0
172.67.98.181,168,210,182,0
104.26.9.106,167,194,182,0
104.24.13.156,169,188,182,0
104.25.99.180,167,211,182,0
104.25.178.220,170,193,182,0
104.24.235.36,166,195,182,0
104.24.82.143,169,209,182,0
104.27.206.228,170,192,182,0
104.24.156.228,169,213,182,0
172.67.63.204,173,199,182,0
172.67.35.232,174,192,182,0
104.22.54.142,170,205,182,0
104.24.31.14,172,201,182,0
104.25.115.212,165,207,182,0
104.27.28.7,168,201,182,0
104.25.125.101,168,203,182,0
104.25.250.100,169,192,182,0
104.25.128.238,170,205,182,0
104.27.45.120,171,199,182,0
104.23.115.228,167,195,182,0
172.67.30.169,166,194,183,0
162.159.152.142,170,205,183,0
104.24.4.196,170,198,183,0
104.27.80.249,177,194,183,0
104.25.51.97,176,191,183,0
104.25.213.147,165,236,183,0
172.67.68.161,171,205,183,0
104.24.130.141,169,212,183,0
104.24.26.115,174,192,183,0
104.27.83.34,170,213,183,0
104.27.2.229,168,202,183,0
104.24.78.129,170,210,183,0
104.27.88.169,176,191,183,0
104.24.168.172,175,188,183,0
172.67.89.64,168,205,183,0
104.27.105.185,169,218,183,0
104.22.55.92,170,192,183,0
104.27.123.86,169,198,183,0
104.25.86.246,164,209,183,0
104.22.76.103,170,212,183,0
172.67.15.205,165,206,183,0
104.25.33.170,168,206,183,0
172.67.56.164,167,198,183,0
104.24.177.98,167,195,183,0
104.27.4.197,175,190,183,0
104.27.63.233,170,196,183,0
104.27.16.246,167,207,183,0
172.67.80.164,167,211,183,0
104.25.160.47,177,191,183,0
104.25.210.93,168,193,183,0
104.27.30.58,170,203,183,0
104.24.239.104,174,199,183,0
104.22.32.104,165,213,183,0
104.27.69.225,176,190,183,0
104.24.28.57,167,204,183,0
104.23.97.222,176,196,183,0
104.27.92.8,174,202,183,0
104.24.148.144,174,190,183,0
104.25.121.235,170,222,183,0
104.25.110.83,172,196,183,0
104.25.137.127,167,219,183,0
104.25.222.186,174,194,184,0
104.20.3.60,165,221,184,0
104.24.175.18,174,203,184,0
104.22.62.101,175,194,184,0
104.25.149.236,168,196,184,0
104.25.132.77,170,207,184,0
104.25.254.189,170,197,184,0
172.67.49.151,176,193,184,0
104.24.51.242,168,195,184,0
104.25.238.218,168,217,184,0
172.67.62.154,171,205,184,0
104.27.37.116,175,195,184,0
104.25.190.202,167,225,184,0
104.25.101.143,176,199,184,0
104.24.187.57,174,199,184,0
104.25.129.197,174,194,184,0
104.25.20.95,176,195,184,0
104.25.180.108,172,196,184,0
104.24.93.212,169,204,184,0
104.23.136.60,171,198,184,0
104.22.26.25,168,226,184,0
104.25.82.67,174,199,185,0
104.27.65.179,175,191,185,0
104.25.246.206,166,202,185,0
104.22.75.41,168,239,185,0
104.22.19.121,170,217,185,0
104.23.103.182,172,204,185,0
172.67.60.231,169,193,185,0
104.24.240.79,165,203,185,0
104.25.171.99,167,213,185,0
104.25.224.153,176,203,185,0
104.25.60.161,176,214,185,0
104.25.3.246,175,208,185,0
104.22.53.142,170,265,185,0
