IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
162.159.18.63,172,177,174,0
104.16.82.99,173,176,174,0
172.64.152.84,171,178,175,0
104.16.246.183,172,179,175,0
198.41.203.7,172,178,175,0
172.64.94.62,172,177,175,0
104.19.80.102,174,178,175,0
108.162.195.37,171,179,175,0
104.19.156.185,171,180,175,0
104.19.93.68,172,182,175,0
104.17.250.17,172,181,175,0
104.17.129.164,173,179,175,0
104.18.199.249,172,179,175,0
104.19.104.96,173,181,175,0
104.16.155.222,172,180,175,0
104.16.224.17,171,179,176,0
172.66.47.15,172,181,176,0
172.66.44.9,172,182,176,0
104.19.76.229,172,179,176,0
172.64.80.48,172,182,176,0
104.19.126.166,172,186,176,0
104.16.234.208,172,183,176,0
104.19.231.81,172,182,176,0
104.19.66.100,172,181,176,0
172.66.45.21,171,186,176,0
104.16.149.234,172,180,176,0
104.18.44.27,172,182,176,0
104.19.70.28,172,186,176,0
104.16.19.140,171,184,176,0
162.159.20.166,171,188,176,0
198.41.217.138,171,184,176,0
104.18.72.137,173,184,176,0
103.21.244.107,172,184,176,0
104.17.140.42,171,184,176,0
104.16.91.24,172,185,176,0
104.19.32.244,171,180,176,0
104.17.70.210,172,180,176,0
104.19.65.3,172,183,176,0
172.64.144.72,173,178,176,0
104.16.197.21,173,181,176,0
198.41.214.165,172,183,176,0
104.19.78.56,171,180,176,0
104.17.76.29,172,182,176,0
104.19.188.40,173,185,176,0
104.17.128.251,172,186,177,0
104.16.95.215,174,180,177,0
104.16.52.40,172,182,177,0
104.18.51.191,171,182,177,0
104.16.254.128,172,185,177,0
104.19.146.112,172,182,177,0
104.16.128.195,174,182,177,0
104.18.52.75,172,186,177,0
104.17.65.66,172,181,177,0
162.159.26.103,173,188,177,0
104.16.179.97,174,186,177,0
104.17.92.219,174,186,177,0
104.16.183.53,172,184,177,0
104.18.147.7,175,180,177,0
104.18.191.99,172,197,177,0
104.18.242.3,173,183,177,0
104.19.125.70,174,180,177,0
104.18.137.229,173,188,177,0
104.18.84.47,173,190,177,0
104.18.79.29,174,184,177,0
104.17.56.43,172,198,177,0
104.17.72.231,172,184,177,0
104.19.31.72,175,180,177,0
104.18.183.211,173,184,177,0
104.18.204.42,174,182,177,0
104.18.39.110,174,182,177,0
104.17.232.106,173,187,177,0
104.19.229.227,173,188,177,0
104.19.113.245,173,188,177,0
104.18.145.12,175,183,177,0
172.66.1.179,173,185,177,0
104.18.10.217,174,185,177,0
104.16.195.32,172,194,177,0
104.17.81.88,174,184,177,0
104.16.138.176,173,182,177,0
104.17.91.167,172,184,177,0
104.17.46.24,174,180,177,0
104.16.223.151,174,183,177,0
104.17.186.112,172,196,177,0
104.18.219.188,175,183,177,0
104.18.243.25,173,186,177,0
