IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.19.197.34,1,1,1,0
104.21.11.229,0,5,1,0
104.24.66.255,0,3,1,0
104.17.153.13,0,4,1,0
104.24.52.168,0,6,1,0
104.27.54.92,0,5,2,0
104.18.221.218,1,7,2,0
104.24.177.8,1,4,2,0
104.27.92.118,1,5,2,0
104.20.50.93,0,10,2,0
104.21.219.220,0,8,2,0
104.16.94.53,0,7,2,0
104.24.61.1,0,7,2,0
104.27.202.28,0,10,2,0
104.24.210.206,1,4,2,0
104.25.137.130,0,8,2,0
104.19.244.13,1,7,2,0
104.20.56.254,1,12,2,0
104.25.40.53,1,6,3,0
104.27.14.1,0,6,3,0
104.27.198.170,0,7,3,0
104.19.28.11,0,9,3,0
104.17.164.54,1,10,3,0
104.20.27.219,1,7,3,0
104.21.109.231,1,9,3,0
104.27.37.172,0,16,3,0
104.21.45.141,1,11,3,0
104.24.148.5,0,15,3,0
104.17.49.243,0,9,3,0
104.16.132.162,1,9,3,0
104.17.192.219,0,10,3,0
104.26.13.127,1,12,3,0
104.16.163.121,1,15,3,0
104.18.236.66,0,8,3,0
104.16.53.135,1,8,3,0
162.159.48.94,0,9,3,0
104.17.251.87,0,12,3,0
104.27.70.63,1,10,3,0
104.17.126.7,1,13,4,0
104.16.27.119,0,18,4,0
104.16.180.119,1,13,4,0
104.27.63.40,0,19,4,0
104.16.226.105,1,7,4,0
104.27.34.216,1,19,4,0
104.17.132.108,1,11,4,0
104.25.160.67,0,13,4,0
104.17.231.218,0,16,4,0
104.27.5.81,1,14,4,0
104.17.161.63,0,15,4,0
104.25.37.160,1,15,4,0
104.24.132.178,0,11,4,0
104.18.147.155,0,15,4,0
104.16.192.56,0,12,4,0
104.16.247.197,0,10,4,0
104.19.0.110,0,15,4,0
104.27.126.87,0,12,4,0
104.18.200.26,0,13,4,0
104.18.247.72,0,22,4,0
104.21.92.50,1,10,4,0
104.19.112.135,1,14,4,0
104.19.233.2,0,15,4,0
