IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.25.92,4,4,0.00,116.74,14.02,SIN
172.64.49.68,4,4,0.00,114.90,13.05,SIN
172.64.229.217,4,4,0.00,111.86,12.81,NRT
172.64.41.44,4,4,0.00,116.04,12.80,SIN
162.159.49.155,4,4,0.00,115.12,12.29,SIN
172.64.155.194,4,4,0.00,116.65,12.18,SIN
172.64.146.216,4,4,0.00,115.54,11.77,SIN
172.64.150.134,4,4,0.00,114.56,9.83,SIN
162.159.36.203,4,4,0.00,115.78,9.77,SIN
162.159.8.221,4,4,0.00,113.82,8.94,SIN
104.17.26.218,4,4,0.00,230.18,0.00,N/A
172.67.159.66,4,4,0.00,264.09,0.00,N/A
172.64.156.48,4,4,0.00,116.95,0.00,N/A
172.64.147.11,4,4,0.00,117.00,0.00,N/A
173.245.58.209,4,4,0.00,117.03,0.00,N/A
172.64.42.0,4,4,0.00,117.04,0.00,N/A
162.159.43.127,4,4,0.00,117.15,0.00,N/A
162.159.13.80,4,4,0.00,117.33,0.00,N/A
162.159.32.91,4,4,0.00,117.41,0.00,N/A
162.159.58.95,4,4,0.00,117.48,0.00,N/A
172.64.153.20,4,4,0.00,117.56,0.00,N/A
162.159.6.37,4,4,0.00,117.62,0.00,N/A
172.64.48.125,4,4,0.00,117.70,0.00,N/A
172.64.46.55,4,4,0.00,117.73,0.00,N/A
108.162.192.84,4,4,0.00,117.88,0.00,N/A
172.64.34.149,4,4,0.00,117.88,0.00,N/A
162.159.35.229,4,4,0.00,117.96,0.00,N/A
172.64.47.53,4,4,0.00,118.04,0.00,N/A
172.64.32.98,4,4,0.00,118.05,0.00,N/A
172.64.36.247,4,4,0.00,118.05,0.00,N/A
172.64.151.184,4,4,0.00,118.30,0.00,N/A
162.159.9.217,4,4,0.00,118.42,0.00,N/A
172.64.157.31,4,4,0.00,118.42,0.00,N/A
172.64.159.37,4,4,0.00,118.54,0.00,N/A
108.162.193.91,4,4,0.00,118.56,0.00,N/A
162.159.18.36,4,4,0.00,118.62,0.00,N/A
162.159.12.220,4,4,0.00,118.70,0.00,N/A
108.162.195.176,4,4,0.00,118.73,0.00,N/A
162.159.11.164,4,4,0.00,118.87,0.00,N/A
162.159.24.251,4,4,0.00,118.89,0.00,N/A
162.159.3.28,4,4,0.00,118.92,0.00,N/A
162.159.42.207,4,4,0.00,118.92,0.00,N/A
198.41.211.151,4,4,0.00,118.95,0.00,N/A
108.162.196.46,4,4,0.00,118.96,0.00,N/A
198.41.223.45,4,4,0.00,119.01,0.00,N/A
172.64.33.228,4,4,0.00,119.33,0.00,N/A
162.159.51.197,4,4,0.00,119.41,0.00,N/A
172.64.152.130,4,4,0.00,119.52,0.00,N/A
172.64.37.25,4,4,0.00,119.58,0.00,N/A
162.159.15.246,4,4,0.00,119.72,0.00,N/A
162.159.26.253,4,4,0.00,119.75,0.00,N/A
162.159.50.187,4,4,0.00,119.77,0.00,N/A
162.159.57.197,4,4,0.00,119.79,0.00,N/A
162.159.27.97,4,4,0.00,119.84,0.00,N/A
162.159.23.127,4,4,0.00,119.92,0.00,N/A
162.159.60.30,4,4,0.00,119.95,0.00,N/A
172.64.35.246,4,4,0.00,119.96,0.00,N/A
173.245.59.50,4,4,0.00,119.97,0.00,N/A
162.159.61.233,4,4,0.00,119.97,0.00,N/A
162.159.5.164,4,4,0.00,120.00,0.00,N/A
172.64.38.31,4,4,0.00,120.05,0.00,N/A
162.159.56.251,4,4,0.00,120.15,0.00,N/A
162.159.22.201,4,4,0.00,120.37,0.00,N/A
108.162.194.118,4,4,0.00,120.42,0.00,N/A
162.159.48.25,4,4,0.00,120.54,0.00,N/A
172.64.40.68,4,4,0.00,120.55,0.00,N/A
162.159.20.131,4,4,0.00,120.61,0.00,N/A
162.159.33.104,4,4,0.00,120.64,0.00,N/A
162.159.41.98,4,4,0.00,120.65,0.00,N/A
162.159.4.130,4,4,0.00,120.67,0.00,N/A
162.159.40.93,4,4,0.00,120.74,0.00,N/A
172.64.144.129,4,4,0.00,120.76,0.00,N/A
162.159.10.89,4,4,0.00,120.77,0.00,N/A
172.64.145.27,4,4,0.00,120.83,0.00,N/A
172.64.158.178,4,4,0.00,120.90,0.00,N/A
162.159.17.118,4,4,0.00,120.98,0.00,N/A
172.64.154.194,4,4,0.00,121.00,0.00,N/A
162.159.62.186,4,4,0.00,121.08,0.00,N/A
162.159.0.181,4,4,0.00,121.36,0.00,N/A
104.18.38.31,4,4,0.00,121.48,0.00,N/A
162.159.46.115,4,4,0.00,121.68,0.00,N/A
162.159.21.204,4,4,0.00,121.70,0.00,N/A
172.64.149.228,4,4,0.00,122.42,0.00,N/A
162.159.16.118,4,4,0.00,122.82,0.00,N/A
104.18.34.247,4,4,0.00,123.38,0.00,N/A
162.159.1.214,4,4,0.00,123.47,0.00,N/A
104.18.47.106,4,4,0.00,123.68,0.00,N/A
172.64.53.220,4,4,0.00,123.76,0.00,N/A
104.18.33.58,4,4,0.00,123.91,0.00,N/A
162.159.14.129,4,4,0.00,124.13,0.00,N/A
108.162.198.13,4,4,0.00,124.19,0.00,N/A
104.18.44.43,4,4,0.00,124.63,0.00,N/A
162.159.45.206,4,4,0.00,125.27,0.00,N/A
172.64.52.159,4,4,0.00,125.32,0.00,N/A
162.159.44.28,4,4,0.00,125.40,0.00,N/A
162.159.2.44,4,4,0.00,125.61,0.00,N/A
104.18.32.157,4,4,0.00,125.87,0.00,N/A
162.159.38.155,4,4,0.00,126.17,0.00,N/A
104.18.43.181,4,4,0.00,126.40,0.00,N/A
162.159.39.19,4,4,0.00,126.49,0.00,N/A
162.159.7.167,4,4,0.00,126.55,0.00,N/A
104.18.37.10,4,4,0.00,126.92,0.00,N/A
162.159.34.241,4,4,0.00,127.85,0.00,N/A
104.18.42.86,4,4,0.00,128.69,0.00,N/A
104.18.40.70,4,4,0.00,129.17,0.00,N/A
104.18.41.132,4,4,0.00,129.33,0.00,N/A
104.18.36.240,4,4,0.00,129.61,0.00,N/A
104.18.45.79,4,4,0.00,130.12,0.00,N/A
104.18.46.96,4,4,0.00,130.95,0.00,N/A
198.41.222.31,4,4,0.00,131.29,0.00,N/A
104.18.35.193,4,4,0.00,132.01,0.00,N/A
172.64.148.243,4,4,0.00,133.87,0.00,N/A
104.18.39.36,4,4,0.00,143.17,0.00,N/A
104.24.163.228,4,4,0.00,175.59,0.00,N/A
104.25.57.110,4,4,0.00,175.64,0.00,N/A
172.65.114.17,4,4,0.00,175.98,0.00,N/A
104.25.21.253,4,4,0.00,176.42,0.00,N/A
104.27.33.64,4,4,0.00,176.49,0.00,N/A
104.24.249.236,4,4,0.00,176.80,0.00,N/A
104.24.203.65,4,4,0.00,176.85,0.00,N/A
104.25.44.113,4,4,0.00,176.90,0.00,N/A
104.24.161.104,4,4,0.00,176.95,0.00,N/A
104.24.213.111,4,4,0.00,176.97,0.00,N/A
172.66.145.247,4,4,0.00,176.98,0.00,N/A
104.24.32.98,4,4,0.00,177.03,0.00,N/A
104.24.165.119,4,4,0.00,177.43,0.00,N/A
104.25.95.60,4,4,0.00,177.52,0.00,N/A
104.25.76.19,4,4,0.00,177.57,0.00,N/A
104.27.60.214,4,4,0.00,177.60,0.00,N/A
172.65.81.25,4,4,0.00,177.62,0.00,N/A
104.24.27.15,4,4,0.00,177.67,0.00,N/A
104.25.19.45,4,4,0.00,177.84,0.00,N/A
162.159.230.241,4,4,0.00,177.88,0.00,N/A
172.67.121.198,4,4,0.00,177.93,0.00,N/A
172.65.127.133,4,4,0.00,177.99,0.00,N/A
104.24.227.240,4,4,0.00,178.22,0.00,N/A
104.24.235.82,4,4,0.00,178.28,0.00,N/A
104.27.103.217,4,4,0.00,178.48,0.00,N/A
104.27.104.46,4,4,0.00,178.49,0.00,N/A
104.25.40.113,4,4,0.00,178.52,0.00,N/A
104.24.206.107,4,4,0.00,178.65,0.00,N/A
104.27.125.141,4,4,0.00,178.77,0.00,N/A
104.25.163.4,4,4,0.00,178.81,0.00,N/A
104.25.48.62,4,4,0.00,178.83,0.00,N/A
104.20.58.232,4,4,0.00,178.94,0.00,N/A
104.27.197.55,4,4,0.00,178.97,0.00,N/A
172.65.163.235,4,4,0.00,179.04,0.00,N/A
172.65.121.162,4,4,0.00,179.07,0.00,N/A
162.159.156.29,4,4,0.00,179.10,0.00,N/A
104.27.113.42,4,4,0.00,179.13,0.00,N/A
