IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.18.41.218,2,2,0.00,116.35,4.34,SIN
162.159.41.5,2,2,0.00,119.10,4.06,SIN
173.245.59.222,2,2,0.00,118.29,3.64,SIN
172.64.41.108,2,2,0.00,119.54,3.42,SIN
172.64.34.70,2,2,0.00,118.76,3.31,SIN
104.18.46.147,2,2,0.00,119.50,2.75,SIN
172.64.156.216,2,2,0.00,119.92,2.46,SIN
104.18.40.161,2,2,0.00,119.73,2.43,SIN
104.24.221.94,2,2,0.00,198.80,0.00,N/A
104.27.66.240,2,2,0.00,197.18,0.00,N/A
198.41.211.154,2,2,0.00,120.05,0.00,N/A
173.245.58.191,2,2,0.00,120.30,0.00,N/A
162.159.23.212,2,2,0.00,120.55,0.00,N/A
162.159.4.117,2,2,0.00,120.66,0.00,N/A
108.162.193.210,2,2,0.00,120.83,0.00,N/A
162.159.25.223,2,2,0.00,120.93,0.00,N/A
198.41.223.16,2,2,0.00,121.36,0.00,N/A
162.159.6.216,2,2,0.00,121.55,0.00,N/A
104.18.36.219,2,2,0.00,121.68,0.00,N/A
162.159.17.25,2,2,0.00,121.72,0.00,N/A
172.64.49.205,2,2,0.00,121.91,0.00,N/A
172.64.149.178,2,2,0.00,121.96,0.00,N/A
108.162.196.18,2,2,0.00,121.99,0.00,N/A
162.159.15.84,2,2,0.00,122.18,0.00,N/A
172.64.42.134,2,2,0.00,122.28,0.00,N/A
162.159.9.178,2,2,0.00,122.38,0.00,N/A
172.64.33.155,2,2,0.00,122.39,0.00,N/A
108.162.194.59,2,2,0.00,122.45,0.00,N/A
104.18.37.190,2,2,0.00,122.51,0.00,N/A
172.64.157.113,2,2,0.00,122.68,0.00,N/A
162.159.7.2,2,2,0.00,123.22,0.00,N/A
162.159.1.10,2,2,0.00,123.23,0.00,N/A
162.159.32.132,2,2,0.00,123.45,0.00,N/A
172.64.153.31,2,2,0.00,123.48,0.00,N/A
162.159.12.143,2,2,0.00,123.57,0.00,N/A
162.159.2.156,2,2,0.00,123.61,0.00,N/A
108.162.192.54,2,2,0.00,123.71,0.00,N/A
172.64.48.141,2,2,0.00,123.80,0.00,N/A
172.64.155.178,2,2,0.00,124.01,0.00,N/A
104.18.42.226,2,2,0.00,124.04,0.00,N/A
162.159.5.5,2,2,0.00,124.06,0.00,N/A
104.18.38.92,2,2,0.00,124.19,0.00,N/A
162.159.46.11,2,2,0.00,124.21,0.00,N/A
108.162.195.207,2,2,0.00,124.37,0.00,N/A
162.159.61.199,2,2,0.00,124.46,0.00,N/A
162.159.14.37,2,2,0.00,124.47,0.00,N/A
162.159.40.169,2,2,0.00,124.59,0.00,N/A
172.64.159.2,2,2,0.00,124.62,0.00,N/A
162.159.50.91,2,2,0.00,124.66,0.00,N/A
162.159.42.167,2,2,0.00,124.67,0.00,N/A
172.64.145.244,2,2,0.00,124.82,0.00,N/A
172.64.38.160,2,2,0.00,124.84,0.00,N/A
172.64.50.184,2,2,0.00,124.85,0.00,N/A
162.159.0.47,2,2,0.00,124.90,0.00,N/A
162.159.13.192,2,2,0.00,124.95,0.00,N/A
172.64.36.26,2,2,0.00,125.39,0.00,N/A
172.64.40.125,2,2,0.00,125.40,0.00,N/A
172.64.154.192,2,2,0.00,125.54,0.00,N/A
162.159.58.110,2,2,0.00,125.66,0.00,N/A
198.41.222.214,2,2,0.00,125.68,0.00,N/A
162.159.36.217,2,2,0.00,125.68,0.00,N/A
162.159.49.177,2,2,0.00,125.71,0.00,N/A
162.159.19.238,2,2,0.00,125.99,0.00,N/A
162.159.10.245,2,2,0.00,126.03,0.00,N/A
162.159.51.134,2,2,0.00,126.03,0.00,N/A
162.159.8.103,2,2,0.00,126.23,0.00,N/A
104.18.44.156,2,2,0.00,126.48,0.00,N/A
162.159.11.132,2,2,0.00,126.62,0.00,N/A
172.64.158.34,2,2,0.00,126.88,0.00,N/A
172.64.35.109,2,2,0.00,126.92,0.00,N/A
172.64.32.79,2,2,0.00,127.15,0.00,N/A
162.159.16.85,2,2,0.00,127.20,0.00,N/A
162.159.22.42,2,2,0.00,127.26,0.00,N/A
162.159.21.73,2,2,0.00,127.34,0.00,N/A
104.18.35.208,2,2,0.00,127.37,0.00,N/A
